week_start,Mode,subway_rides
2024-11-20,Subway,4298945.0
2024-11-19,Subway,4277932.0
2024-11-18,Subway,3900958.0
2024-11-17,Subway,2101806.0
2024-11-16,Subway,2789132.0
2024-11-15,Subway,3986526.0
2024-11-14,Subway,4296568.0
2024-11-13,Subway,4331024.0
2024-11-12,Subway,4263199.0
2024-11-11,Subway,3277617.0
2024-11-10,Subway,2117144.0
2024-11-09,Subway,2770474.0
2024-11-08,Subway,3971878.0
2024-11-07,Subway,4232190.0
2024-11-06,Subway,4113411.0
2024-11-05,Subway,3640246.0
2024-11-04,Subway,3949699.0
2024-11-03,Subway,2602870.0
2024-11-02,Subway,2817106.0
2024-11-01,Subway,3780874.0
2024-10-31,Subway,4340272.0
2024-10-30,Subway,4417951.0
2024-10-29,Subway,4378791.0
2024-10-28,Subway,3983168.0
2024-10-27,Subway,2208683.0
2024-10-26,Subway,2828539.0
2024-10-25,Subway,4019790.0
2024-10-24,Subway,4304831.0
2024-10-23,Subway,4276606.0
2024-10-22,Subway,4218881.0
2024-10-21,Subway,3842315.0
2024-10-20,Subway,2176476.0
2024-10-19,Subway,2752350.0
2024-10-18,Subway,4030998.0
2024-10-17,Subway,4309633.0
2024-10-16,Subway,4357117.0
2024-10-15,Subway,4284818.0
2024-10-14,Subway,3066851.0
2024-10-13,Subway,2153429.0
2024-10-12,Subway,2587128.0
2024-10-11,Subway,3868564.0
2024-10-10,Subway,4329161.0
2024-10-09,Subway,4313211.0
2024-10-08,Subway,4256950.0
2024-10-07,Subway,3847055.0
2024-10-06,Subway,2065294.0
2024-10-05,Subway,2710146.0
2024-10-04,Subway,3506654.0
2024-10-03,Subway,3627528.0
2024-10-02,Subway,4068073.0
2024-10-01,Subway,4179363.0
2024-09-30,Subway,3849138.0
2024-09-29,Subway,1959363.0
2024-09-28,Subway,2557982.0
2024-09-27,Subway,3945383.0
2024-09-26,Subway,4295723.0
2024-09-25,Subway,4335945.0
2024-09-24,Subway,4323708.0
2024-09-23,Subway,3898806.0
2024-09-22,Subway,2131910.0
2024-09-21,Subway,2744632.0
2024-09-20,Subway,3933048.0
2024-09-19,Subway,4255184.0
2024-09-18,Subway,4232888.0
2024-09-17,Subway,4189311.0
2024-09-16,Subway,3821428.0
2024-09-15,Subway,2161737.0
2024-09-14,Subway,2706474.0
2024-09-13,Subway,3911412.0
2024-09-12,Subway,4232214.0
2024-09-11,Subway,4214707.0
2024-09-10,Subway,4182405.0
2024-09-09,Subway,3811344.0
2024-09-08,Subway,2101048.0
2024-09-07,Subway,2479639.0
2024-09-06,Subway,3794952.0
