pickup_date,total_trips
2020-11-21,48758.0
2020-11-22,32720.0
2020-11-23,52550.0
2020-11-24,56335.0
2020-11-25,51859.0
2020-11-26,24923.0
2020-11-27,34264.0
2020-11-28,35806.0
2020-11-29,31811.0
2020-11-30,45976.0
2020-12-01,54850.0
2020-12-02,55903.0
2020-12-03,56776.0
2020-12-04,57390.0
2020-12-05,42775.0
2020-12-06,37198.0
2020-12-07,50675.0
2020-12-08,56720.0
2020-12-09,57622.0
2020-12-10,59288.0
2020-12-11,61194.0
2020-12-12,46618.0
2020-12-13,38726.0
2020-12-14,51467.0
2020-12-15,60886.0
2020-12-16,50672.0
2020-12-17,26421.0
2020-12-18,59318.0
2020-12-19,44091.0
2020-12-20,31681.0
2020-12-21,51526.0
2020-12-22,56169.0
2020-12-23,56755.0
2020-12-24,44483.0
2020-12-25,19112.0
2020-12-26,28407.0
2020-12-27,25892.0
2020-12-28,40985.0
2020-12-29,45866.0
2020-12-30,47650.0
2020-12-31,44811.0
2021-01-01,24830.0
2021-01-02,34314.0
2021-01-03,26345.0
2021-01-04,44545.0
2021-01-05,46880.0
2021-01-06,49547.0
2021-01-07,50290.0
2021-01-08,50477.0
2021-01-09,39911.0
2021-01-10,29855.0
2021-01-11,46849.0
2021-01-12,50133.0
2021-01-13,51306.0
2021-01-14,53051.0
2021-01-15,53026.0
2021-01-16,38723.0
2021-01-17,31985.0
2021-01-18,37092.0
2021-01-19,51149.0
2021-01-20,49438.0
2021-01-21,53280.0
2021-01-22,54285.0
2021-01-23,42054.0
2021-01-24,31033.0
2021-01-25,47423.0
2021-01-26,47818.0
2021-01-27,52655.0
2021-01-28,56444.0
2021-01-29,54602.0
2021-01-30,39233.0
2021-01-31,31191.0
2021-02-01,6806.0
2021-02-02,29180.0
2021-02-03,55440.0
2021-02-04,59326.0
2021-02-05,57770.0
2021-02-06,49989.0
2021-02-07,27488.0
2021-02-08,51729.0
2021-02-09,52733.0
2021-02-10,57857.0
2021-02-11,58625.0
2021-02-12,63611.0
2021-02-13,48355.0
2021-02-14,39672.0
2021-02-15,40322.0
2021-02-16,51211.0
2021-02-17,60166.0
2021-02-18,38121.0
2021-02-19,53029.0
2021-02-20,51340.0
2021-02-21,37119.0
2021-02-22,50700.0
2021-02-23,57160.0
2021-02-24,59969.0
2021-02-25,61984.0
2021-02-26,65394.0
2021-02-27,48981.0
2021-02-28,37619.0
2021-03-01,54838.0
2021-03-02,61843.0
2021-03-03,63297.0
2021-03-04,67141.0
2021-03-05,69582.0
2021-03-06,55004.0
2021-03-07,38947.0
2021-03-08,56282.0
2021-03-09,62056.0
2021-03-10,64635.0
2021-03-11,68222.0
2021-03-12,71716.0
2021-03-13,60870.0
2021-03-14,43964.0
2021-03-15,61407.0
2021-03-16,65479.0
2021-03-17,71510.0
2021-03-18,71539.0
2021-03-19,74427.0
2021-03-20,61538.0
2021-03-21,45124.0
2021-03-22,59959.0
2021-03-23,63548.0
2021-03-24,68659.0
2021-03-25,69841.0
2021-03-26,73535.0
2021-03-27,67392.0
2021-03-28,40404.0
2021-03-29,58127.0
2021-03-30,66702.0
2021-03-31,67542.0
2021-04-01,72434.0
2021-04-02,72350.0
2021-04-03,61847.0
