cluster_start,cluster_end,cluster_days,fare_z,distance_z,duration_z,volume_z,composite_z
2020-03-03,2020-03-14,12,0.18130394453406726,-0.5906891405579502,2.1038574307031963,2.452602729270419,1.036768740987433
2021-11-11,2021-11-20,10,0.16541878019835785,-0.3615464847425833,0.35253443128831713,0.7263612282683772,0.22069198875311724
2021-12-02,2021-12-16,15,1.7469382343334483,0.4023661873153399,1.5572169025656368,1.1449071530398713,1.2128571193135742
2022-10-20,2022-12-10,52,-0.4269704983713265,0.1569085818832057,0.23477306530957776,-0.06860719687812686,-0.025974012014167484
2023-12-07,2023-12-16,10,0.6386896212350346,0.08483475133340414,0.5867882164153867,1.4490462301256117,0.6898397047773592
2024-04-03,2024-06-27,86,0.42957983147022283,-0.04321992581358191,0.5538167951595356,0.793991208231121,0.4335419772618244
2024-09-12,2024-09-20,9,-0.4141723608380193,-0.664962297709123,-0.20010147590275193,1.0020006301708695,-0.06930887606975616
2024-11-14,2024-11-23,10,0.5975536712719175,0.6861606029823423,0.2778041059627036,0.9376913586960649,0.624802434728257
2024-12-04,2024-12-21,18,0.7508065735571131,-0.3823394658413381,1.5394736684900097,1.6642525635901118,0.8930483349489742
2025-01-16,2025-02-26,42,0.4828638445091074,0.35856628813127256,0.28673882957661057,0.7302233196645265,0.46459807047037927
