pickup_date,n_anomalies,avg_fare,avg_trip_distance,avg_trip_duration,total_trips
2022-09-12,181,11.119668508287294,2.1591160220994476,14.103222836095764,110826
2022-09-13,219,11.846392694063928,2.1623744292237443,15.254337899543378,122003
2022-09-14,245,12.703428571428573,2.5246938775510204,16.48537414965986,124052
2022-09-15,204,12.086323529411766,2.342843137254902,15.076307189542483,127956
2022-09-16,219,11.720639269406393,2.2772602739726024,14.412328767123288,125862
2022-09-17,105,12.927619047619048,3.008666666666667,14.393333333333333,59501
2022-09-18,1,21.0,6.2,19.7,4229
2022-09-19,151,12.835364238410596,2.630331125827815,15.35430463576159,105585
2022-09-20,173,14.569653179190752,2.8662427745664742,17.878709055876683,106678
2022-09-21,157,13.69356687898089,2.4047133757961783,18.312101910828027,102864
2022-09-22,202,12.13158415841584,2.383910891089109,14.748267326732673,109086
2022-09-23,229,12.001091703056769,2.4364192139737995,14.69890829694323,119173
2022-09-24,234,11.718632478632477,2.505726495726496,14.067165242165242,117453
2022-09-25,153,12.24045751633987,2.8120915032679736,13.405337690631807,99174
2022-09-26,141,10.953900709219859,2.4090780141843973,12.241489361702127,97024
2022-09-27,175,11.78577142857143,2.6166285714285715,13.396190476190476,113328
2022-09-28,248,11.797701612903225,2.31125,14.931115591397848,122550
2022-09-29,264,12.03651515151515,2.3201136363636365,15.515277777777776,126801
2022-09-30,208,12.114663461538461,2.471201923076923,15.296233974358975,123849
2022-10-01,238,11.908067226890756,2.48827731092437,14.258613445378153,118068
2022-10-02,140,10.949642857142857,2.3802857142857143,12.31892857142857,95806
2022-10-03,171,10.867719298245614,2.0596491228070173,13.575730994152046,108671
2022-10-04,222,12.824864864864864,2.522117117117117,15.46936936936937,109671
2022-10-05,237,10.039451476793248,2.0359493670886075,12.024683544303796,114764
2022-10-06,220,11.89309090909091,2.1521818181818184,15.504015151515151,123838
2022-10-07,219,11.445159817351596,2.0966666666666667,14.89200913242009,125029
2022-10-08,199,12.26572864321608,2.5947738693467337,14.738442211055276,122419
2022-10-09,127,13.887795275590552,2.8699212598425197,15.19225721784777,98213
2022-10-10,127,10.470866141732284,2.2607874015748033,11.753937007874017,94815
2022-10-11,219,11.343835616438357,2.3529680365296803,13.607686453576866,119423
2022-10-12,267,11.2687265917603,2.20936329588015,14.221285892634208,124848
2022-10-13,227,12.40885462555066,2.356123348017621,15.782011747430248,128716
2022-10-14,230,11.850347826086956,2.4232173913043478,15.312898550724638,127324
2022-10-15,208,12.754567307692307,2.566442307692308,16.014583333333334,127002
2022-10-16,174,12.124597701149424,2.848103448275862,13.64904214559387,108571
2022-10-17,191,10.321413612565445,2.1050261780104713,11.909511343804537,111867
2022-10-18,206,11.576893203883495,2.378834951456311,13.96294498381877,124694
2022-10-19,221,12.528009049773756,2.3938461538461535,16.171794871794873,129781
2022-10-20,282,11.791560283687943,2.240177304964539,14.414775413711585,132409
2022-10-21,247,12.209716599190283,2.469109311740891,15.280566801619432,129437
2022-10-22,229,12.386899563318776,2.5717903930131008,15.049344978165937,128225
2022-10-23,175,10.6456,2.2901714285714285,12.013619047619047,105866
2022-10-24,192,10.3359375,2.1898958333333334,12.044704861111112,111421
2022-10-25,290,12.124965517241378,2.3786551724137928,15.494942528735631,123135
2022-10-26,257,11.602295719844358,2.2520622568093382,14.216342412451361,128891
2022-10-27,246,13.443780487804878,2.5613008130081303,17.428997289972898,132412
2022-10-28,245,12.03530612244898,2.4792244897959184,14.399727891156463,132215
2022-10-29,216,13.075833333333334,2.729074074074074,16.279398148148147,127966
2022-10-30,176,12.480625000000002,2.8392613636363637,13.435511363636364,108386
2022-10-31,158,11.357278481012658,2.315379746835443,13.505379746835443,101501
2022-11-01,267,11.560449438202246,2.2853932584269665,14.57565543071161,120515
2022-11-02,249,12.083373493975904,2.4147389558232932,14.864859437751004,126271
2022-11-03,262,12.008320610687022,2.3490458015267177,15.33594147582697,131484
2022-11-04,232,11.765129310344829,2.330043103448276,14.788362068965517,130682
2022-11-05,264,12.668295454545454,2.545681818181818,15.418750000000001,130401
2022-11-06,170,12.167529411764706,2.8491764705882354,13.58764705882353,104570
2022-11-07,193,11.937253886010362,2.5168911917098447,13.737996545768567,112135
2022-11-08,236,11.169661016949153,2.2942372881355935,13.436581920903954,121121
2022-11-09,249,12.407630522088354,2.4264658634538154,15.926974564926372,128700
2022-11-10,264,12.092992424242425,2.2638257575757574,16.21919191919192,132727
2022-11-11,225,12.475999999999999,2.3439111111111113,16.26837037037037,117728
2022-11-12,313,12.196389776357826,2.47444089456869,15.106922257720978,130944
2022-11-13,194,11.076855670103091,2.4611855670103093,12.47774914089347,114269
2022-11-14,135,12.838444444444445,2.805111111111111,14.825061728395061,82278
2022-11-15,179,12.859050279329608,2.3413407821229053,16.25949720670391,90728
2022-11-16,152,13.246315789473684,2.6305921052631582,16.0859649122807,92660
2022-11-17,156,11.34775641025641,2.174551282051282,13.746367521367521,95344
2022-11-18,174,11.947068965517241,2.479022988505747,14.676053639846742,95454
2022-11-19,136,12.119411764705882,2.557279411764706,14.841666666666667,94932
2022-11-20,111,11.497927927927927,2.624774774774775,13.718918918918918,81125
2022-11-21,247,12.026072874493927,2.4069635627530364,14.357692307692307,108526
2022-11-22,192,11.428437500000001,2.2303645833333334,14.422743055555555,114546
2022-11-23,211,10.98208530805687,2.0512322274881516,13.714849921011059,105640
2022-11-24,139,11.98136690647482,2.8255395683453237,11.89988009592326,69663
2022-11-25,80,10.0775,2.0763749999999996,11.325,86607
2022-11-26,169,11.402781065088757,2.4038461538461537,13.749605522682446,99513
2022-11-27,175,10.799314285714287,2.3273142857142854,12.089238095238096,90529
